"","x"
"1","Sec31a"
"2","Derl3"
"3","Aff2"
"4","Slc6a17"
"5","Tmem263"
"6","Sec24a"
"7","Morf4l2"
"8","Mfap3l"
"9","Vgf"
"10","Sec23a"
"11","Sgms2"
"12","U2surp"
"13","Arl5a"
"14","Slc39a14"
"15","Fam98a"
"16","Chpf2"
"17","Slc35a2"
"18","6430548M08Rik"
"19","Ndrg4"
"20","Arfip2"
"21","Wdr1"
"22","Pdxdc1"
"23","Arfgap1"
"24","Vma21"
"25","Ptprn"
"26","Vav3"
"27","Ccnd2"
"28","Dstn"
"29","Pitpnm2"
"30","Gmppb"
"31","Tmem167"
"32","Ggcx"
"33","Slc36a4"
"34","Slc35e1"
"35","Mphosph6"
"36","Tcf25"
"37","Sra1"
"38","Fam83g"
"39","Entpd7"
"40","B3gnt9"
"41","Tpm1"
"42","Ormdl2"
"43","Klhdc8a"
"44","A630095E13Rik"
"45","Aars"
"46","Adm2"
"47","Aldh1l2"
"48","Aldh18a1"
"49","Amigo3"
"50","Angptl6"
"51","Asns"
"52","Bhlha15"
"53","Calr"
"54","Cars"
"55","Cckbr"
"56","Creld2"
"57","Cry1"
"58","Cyb5r1"
"59","Dnajb9"
"60","Dnajb11"
"61","Dnajc3"
"62","Eif4ebp1"
"63","Eprs"
"64","Etv5"
"65","Gm3636"
"66","Gnl3"
"67","Gpt2"
"68","Hmox1"
"69","Hsp90b1"
"70","Hspa5"
"71","Hspa9"
"72","Hyou1"
"73","Iars"
"74","Isg20"
"75","Kcnh1"
"76","Kcnip1"
"77","Kdelr3"
"78","LOC106740"
"79","Lrrfip2"
"80","Manf"
"81","Mctp2"
"82","Mthfd2"
"83","Nars"
"84","Nupr1"
"85","Pck2"
"86","Pdia4"
"87","Pdia6"
"88","Pgm3"
"89","Phf10"
"90","Phgdh"
"91","Ppp1r15a"
"92","Psat1"
"93","Psph"
"94","Rbm15b"
"95","Sars"
"96","Sdf2l1"
"97","Sec24d"
"98","Sel1l"
"99","Shmt2"
"100","Slc1a4"
"101","Slc7a1"
"102","Slc7a11"
"103","Slc24a3"
"104","Smoc1"
"105","Sqstm1"
"106","Srm"
"107","Syvn1"
"108","Tars"
"109","Trib3"
"110","Wnt5a"
"111","Xpot"
